mjd,filter,dx_arcsec,dy_arcsec,x_pix,y_pix,n_ref_stars
55242.4073060268,g.00000,-0.013272,-0.030298,59.547,60.518,1
55242.4163687326,g.00000,-0.006483,-0.047221,59.574,60.450,0
55251.3559065679,i.00000,-0.012258,0.006919,59.551,60.667,0
55251.3650826854,i.00000,-0.015269,-0.005781,59.539,60.616,1
55267.4414118817,i.00000,-0.011847,0.039567,59.552,60.797,1
55267.4501205026,i.00000,-0.018159,0.064219,59.527,60.896,1
55272.4693404096,g.00000,0.018289,-0.031048,59.673,60.515,0
55272.4793192982,g.00000,0.013182,-0.070601,59.652,60.356,0
55629.5297679403,g.00000,5.684606,-1.473238,82.338,54.746,1
55629.5407310091,g.00000,1.115923,-0.153539,64.063,60.025,1
55630.4537048154,i.00000,-0.012119,0.026919,59.551,60.747,0
55630.4651629054,i.00000,-0.021301,0.004595,59.514,60.657,0
55972.530146063,i.00000,0.000418,0.002227,59.601,60.648,1
55972.5429805476,i.00000,0.010302,-0.002384,59.641,60.629,1
55983.4926916076,g.00000,0.012511,-0.047191,59.650,60.450,0
55983.5049011442,g.00000,0.010375,-0.050475,59.641,60.437,0
56029.2694212043,g.00000,-0.000418,-0.002227,59.598,60.630,1
56029.2811671704,g.00000,-10.117845,-11.936976,59.531,60.572,2
56326.5712262639,i.00000,0.010461,0.021464,59.642,60.725,1
56326.5836384773,i.00000,0.005193,0.013890,59.620,60.694,0
56336.5182617232,g.00000,0.000617,-0.007445,59.602,60.609,0
56336.5298085404,g.00000,-6.021409,-17.661365,59.656,60.599,2
56710.4651915195,i.00000,0.037927,0.044306,59.751,60.816,0
56710.4773995639,i.00000,0.015128,0.009043,59.660,60.675,0
56710.4895534668,i.00000,0.012140,0.006106,59.648,60.663,0
56710.501703877,i.00000,-0.006783,0.041979,59.573,60.807,0
56765.3453923756,i.00000,0.054981,0.011894,59.820,60.686,0
56765.3560897686,i.00000,-0.607292,-0.684509,57.171,57.901,1
56765.3574032848,i.00000,0.050590,0.071477,59.802,60.925,0
56765.36812022,i.00000,-0.493135,-0.881872,57.627,57.111,1
56765.3694368798,i.00000,0.001921,0.051586,59.607,60.845,0
56765.3801517626,i.00000,-1.735330,-0.258791,52.658,59.604,1
56765.3814652334,i.00000,0.011347,0.005841,59.645,60.662,0
56999.623921419,i.00000,-12.499054,-18.078799,59.677,60.757,4
56999.6332281683,i.00000,-0.009865,0.043951,59.560,60.815,0
56999.6338981097,i.00000,0.025182,0.013001,59.700,60.691,0
56999.6425808719,i.00000,-0.002716,0.038024,59.589,60.791,0
56999.6512387176,i.00000,-15.630489,-11.842615,59.649,60.721,2
