rank,targetid,gaia_source_id,N_epochs,MJD_span,delta_rv_kms,S,S_robust,d_max,n_success_true,n_success_false,max_warn_flag,simbad_type,simbad_id,verdict,notes
3,39633437979575384,1584997005586641280,3,354.9959,98.61,123.49,71.73,105.35,3,0,0,NO_MATCH,,CLEAN_STELLAR_CANDIDATE,
5,39627830035744797,3891388499304470656,3,94.7559,76.02,107.95,52.23,108.5,3,0,0,NO_MATCH,,CLEAN_STELLAR_CANDIDATE,
6,39627681263782079,6914501041337922944,3,2.9774,96.92,87.36,49.07,79.17,3,0,0,NO_MATCH,,CLEAN_STELLAR_CANDIDATE,
8,39627720727987709,3827093418703158272,8,118.6785,93.36,38.99,38.99,97.0,8,0,0,NO_MATCH,,CLEAN_STELLAR_CANDIDATE,
11,39627721168388315,3787512447507460352,3,122.6665,330.46,64.35,35.56,63.21,3,0,0,NO_MATCH,,CLEAN_STELLAR_CANDIDATE,
12,39628408488985455,1880759723584022528,3,12.9634,119.62,57.96,33.41,47.56,3,0,0,NO_MATCH,,CLEAN_STELLAR_CANDIDATE,
13,39627690751300586,3780868403682988032,9,109.6966,66.58,27.63,26.8,92.55,9,0,0,NO_MATCH,,CLEAN_STELLAR_CANDIDATE,
15,39627634937694383,3244963210786057984,5,78.7708,120.09,36.29,27.65,167.15,5,0,0,*,SDSS J035641.04-061620.5,CLEAN_STELLAR_CANDIDATE,
16,39627751707116493,3683541768991487104,5,92.7233,82.91,68.57,68.57,109.71,5,0,0,NO_MATCH,,CLEAN_STELLAR_CANDIDATE,
18,39627793041985967,3843110008879900032,7,88.7645,42.8,33.58,24.26,79.89,7,0,0,NO_MATCH,,CLEAN_STELLAR_CANDIDATE,
22,39627829624701236,3856238482657768576,3,14.9359,100.24,71.55,20.56,133.25,3,0,0,NO_MATCH,,CLEAN_STELLAR_CANDIDATE,
23,39627745210139276,3802130935635096832,4,38.9003,146.07,79.86,19.78,205.24,4,0,0,NO_MATCH,,CLEAN_STELLAR_CANDIDATE,
24,39628051222364390,602361299180812800,3,139.6182,32.35,41.32,19.62,38.09,3,0,0,NO_MATCH,,CLEAN_STELLAR_CANDIDATE,
26,39627836088124572,3891796860498960768,3,23.9282,63.97,34.66,17.19,33.8,3,0,0,NO_MATCH,,CLEAN_STELLAR_CANDIDATE,
27,39627624326103210,3823628002865715328,5,79.7838,70.91,32.0,16.65,45.32,5,0,0,NO_MATCH,,CLEAN_STELLAR_CANDIDATE,
29,39627817100513868,3078449763965033472,3,9.0016,381.8,30.28,16.05,26.1,3,0,0,NO_MATCH,,CLEAN_STELLAR_CANDIDATE,
30,39633325534479674,1563820480355540352,3,28.9711,66.86,64.64,15.22,86.02,3,0,0,NO_MATCH,,CLEAN_STELLAR_CANDIDATE,
31,39627981798249854,4442920432493231872,5,11.9764,110.99,32.2,14.96,43.78,5,0,0,NO_MATCH,,CLEAN_STELLAR_CANDIDATE,
32,39627788696688328,4410518344516247424,3,16.95,51.9,32.15,13.22,31.22,3,0,0,NO_MATCH,,CLEAN_STELLAR_CANDIDATE,
33,39627892669286666,1732847539605117824,3,3.9846,111.82,29.36,12.6,30.94,3,0,0,NO_MATCH,,CLEAN_STELLAR_CANDIDATE,
37,39632981127598108,1473318613122088448,3,30.9022,39.52,40.91,11.88,54.38,3,0,0,NO_MATCH,,CLEAN_STELLAR_CANDIDATE,
