rank,targetid,gaia_source_id,survey,n_epochs,mjd_span,S,S_robust,d_max,delta_rv_kms,rv_err_median_kms,notes
1,39632991214896712,1480681355298504960,bright,3,311.1554,227.0123,81.0737,302.6696,107.0267,0.2459,LOO-drops; high-leverage(d=303); N=3(min)
2,39633437979575384,1584997005586641280,bright,3,354.9959,123.4901,71.7264,105.3453,98.6139,0.4889,LOO-moderate; high-leverage(d=105); N=3(min)
3,39627830035744797,3891388499304470656,bright,3,94.7559,107.9462,52.2263,108.4961,76.0153,0.3994,LOO-drops; high-leverage(d=108); N=3(min)
4,39627681263782079,6914501041337922944,bright,3,2.9774,87.3568,49.0747,79.1709,96.9153,0.6815,LOO-moderate; N=3(min)
5,39633025553665365,1375654252266254080,bright,3,25.9330,147.2584,44.8489,219.7490,201.8817,0.7974,LOO-drops; high-leverage(d=220); N=3(min)
6,39627721168388315,3787512447507460352,bright,3,122.6665,64.3497,35.5568,63.2058,330.4592,2.9609,LOO-moderate; N=3(min)
7,39628408488985455,1880759723584022528,bright,3,12.9634,57.9631,33.4072,47.5602,119.6161,0.9882,LOO-moderate; N=3(min)
8,39627829624701236,3856238482657768576,bright,3,14.9359,71.5469,20.5593,133.2482,100.2366,0.8914,LOO-drops; high-leverage(d=133); N=3(min)
9,39627745210139276,3802130935635096832,bright,4,38.9003,79.8619,19.7784,205.2440,146.0699,0.9436,LOO-drops; high-leverage(d=205)
10,39633325534479674,1563820480355540352,bright,3,28.9711,64.6402,15.2165,86.0218,66.8579,0.6325,LOO-drops; N=3(min)
11,2803043443671040,2683995092712700928,bright,3,204.4059,75.2085,12.1428,127.2492,39.4922,0.2749,LOO-drops; high-leverage(d=127); N=3(min)
