rank,targetid,gaia_source_id,survey,n_epochs,mjd_span,S,S_robust,d_max,delta_rv_kms,rv_err_median_kms,notes,gaia_nss_flag,gaia_nss_type,gaia_nss_notes,simbad_main_id,simbad_otype,simbad_binary_flag,variable_class,gaia_ra,gaia_dec,gaia_l,gaia_b,gaia_g_mag,gaia_bp_rp,gaia_parallax,gaia_parallax_error,gaia_pmra,gaia_pmdec,gaia_ruwe,gaia_excess_noise,gaia_phot_variable_flag,gaia_rv,gaia_rv_error,gaia_rv_nb_transits,gaia_astrometry_flag,gaia_photvar_flag,lamost_match,lamost_id,lamost_target,lamost_z,lamost_rv,lamost_snr
3,39633437979575384,1584997005586641280,bright,3,354.9959,123.4901,71.7264,105.3453,98.6139,0.4889,LOO-moderate; high-leverage(d=105); N=3(min),NO,,,,,NO_MATCH,candidate_companion,182.498404691346,64.5442828666588,130.14494830463966,51.99965720993064,16.624857,1.9371996,1.4618072721928363,0.045522436,6.972175984332134,-1.391774752776156,0.9767066,0.0,NOT_AVAILABLE,,,,OK,NOFLAG,NO,,,,,
5,39627830035744797,3891388499304470656,bright,3,94.7559,107.9462,52.2263,108.4961,76.0153,0.3994,LOO-drops; high-leverage(d=108); N=3(min),NO,,,,,NO_MATCH,candidate_companion,180.5903181797706,1.652760045253925,276.0881122914924,61.939402826283924,16.724602,1.3757067,0.8487091731222317,0.10322298,-14.945703247764321,0.9567980561988134,0.99854195,0.0,VARIABLE,,,,OK,VAR,NO,,,,,
6,39627681263782079,6914501041337922944,bright,3,2.9774,87.3568,49.0747,79.1709,96.9153,0.6815,LOO-moderate; N=3(min),NO,,,,,NO_MATCH,candidate_companion,310.4278046751697,-4.613233215412902,41.85731402052501,-26.56622047271633,16.815653,1.1962147,0.5408838997888791,0.0667323,-0.0466632711054944,-7.801343513116301,1.0073549,0.0,NOT_AVAILABLE,,,,OK,NOFLAG,NO,,,,,
8,39627720727987709,3827093418703158272,dark,7,102.7287,43.7508,43.7508,110.0710,93.3597,0.7499,LOO-stable; high-leverage(d=110); N=7,NO,,,,,NO_MATCH,candidate_companion,145.3377476740932,-2.7596598331560607,238.37143581342937,35.335786250755845,16.456104,0.74108696,0.28705480219560536,0.06333992,4.180824548219173,-9.876788246917116,1.0388125,0.08462801,NOT_AVAILABLE,,,,OK,NOFLAG,NO,,,,,
11,39627721168388315,3787512447507460352,bright,3,122.6665,64.3497,35.5568,63.2058,330.4592,2.9609,LOO-moderate; N=3(min),NO,,,,,NO_MATCH,candidate_companion,171.51013431293364,-2.7142470296839063,264.98665132959763,53.744940528330034,18.958185,1.5092907,0.5950193197422444,0.22318254,2.1022577376336677,-2.9706963379680276,0.93921614,0.0,NOT_AVAILABLE,,,,OK,NOFLAG,NO,,,,,
12,39628408488985455,1880759723584022528,bright,3,12.9634,57.9631,33.4072,47.5602,119.6161,0.9882,LOO-moderate; N=3(min),NO,,,,,NO_MATCH,candidate_companion,337.1925890693635,26.576172399836487,87.37298573661391,-26.27287456003377,17.631598,1.5327187,0.5403628142444321,0.11210326,-0.6634384048088995,-2.121525394969359,0.9920843,0.0,NOT_AVAILABLE,,,,OK,NOFLAG,NO,,,,,
13,39627690751300586,3780868403682988032,dark,8,109.6966,31.0776,30.5464,83.6792,66.5838,0.7141,LOO-stable; N=8,NO,,,,,NO_MATCH,candidate_companion,156.96053253320613,-4.07419580945597,249.36121996861945,43.37088944582175,16.368261,0.7128067,0.3203490696110397,0.063871555,15.44125657563316,-22.881265852410838,0.9597575,0.0,NOT_AVAILABLE,,,,OK,NOFLAG,NO,,,,,
15,39627634937694383,3244963210786057984,dark,4,78.7708,40.0375,30.2099,105.9607,114.3295,1.1627,LOO-moderate; high-leverage(d=106),NO,,,SDSS J035641.04-061620.5,*,NO,candidate_companion,59.171075773209644,-6.272364787462236,196.21732182761963,-41.367427326627435,16.727194,0.79541206,0.48950319766633343,0.06381374,11.343576404320325,-1.0061696483165907,1.0721972,0.13111569,NOT_AVAILABLE,,,,OK,NOFLAG,NO,,,,,
16,39627751707116493,3683541768991487104,dark,4,46.8721,84.4855,29.1252,127.2703,80.5036,0.4818,LOO-drops; high-leverage(d=127),NO,,,,,NO_MATCH,candidate_companion,191.80493807329287,-1.5239595258115965,300.7342550985694,61.32978985514147,16.262035,0.7659912,0.39761898613834734,0.053889904,-18.05045019132325,-10.087215694817472,0.97520727,0.0,NOT_AVAILABLE,,,,OK,NOFLAG,NO,,,,,
18,39627793041985967,3843110008879900032,dark,6,87.7770,39.2889,28.7552,77.7042,42.7996,0.4235,LOO-moderate; N=6,NO,,,,,NO_MATCH,candidate_companion,135.716702435533,0.3386400126438632,229.0112529938876,29.048338826675867,16.177456,0.76701355,0.22733514121501777,0.04780949,-5.704901729307922,0.285086945453695,0.9806398,0.0,NOT_AVAILABLE,,,,OK,NOFLAG,NO,,,,,
22,39627829624701236,3856238482657768576,bright,3,14.9359,71.5469,20.5593,133.2482,100.2366,0.8914,LOO-drops; high-leverage(d=133); N=3(min),NO,,,,,NO_MATCH,candidate_companion,156.01374200948862,1.632808510549125,242.45072931818544,46.46212674351015,17.46601,1.7267914,1.043571442107523,0.10903969,-10.489621231253471,6.840645969757407,1.084615,0.22343068,NOT_AVAILABLE,,,,OK,NOFLAG,NO,,,,,
23,39627745210139276,3802130935635096832,bright,4,38.9003,79.8619,19.7784,205.2440,146.0699,0.9436,LOO-drops; high-leverage(d=205),NO,,,,,NO_MATCH,candidate_companion,164.52349428314767,-1.6601557742314024,254.9168194361296,50.33683198663212,17.272505,1.8879223,0.11894892049256606,0.15998486,-7.600405795077815,3.004263705149674,1.95356,0.8957055,NOT_AVAILABLE,,,,SUSPECT,NOFLAG,YES,437513049,J105805.64-013936.5,-0.0001315600,-39.44,4.85
24,39628051222364390,602361299180812800,dark,3,139.6182,41.3207,19.6233,38.0924,32.3500,0.3828,LOO-drops; N=3(min),NO,,,,,NO_MATCH,candidate_companion,127.89088149997949,10.947994487754052,214.24543392146506,27.149458853856494,16.118114,0.7649183,0.49205535634561887,0.049360417,-5.686026664949965,-1.1927232641050343,1.0115525,0.0,NOT_AVAILABLE,,,,OK,NOFLAG,NO,,,,,
26,39627836088124572,3891796860498960768,dark,3,23.9282,34.6589,17.1877,33.8004,63.9698,1.0478,LOO-drops; N=3(min),NO,,,,,NO_MATCH,candidate_companion,181.30451335088574,2.0040217002851937,277.1991533839388,62.543727282681765,16.828003,0.69153595,0.39943784334150323,0.094364375,-6.8803494140479,-6.822810547721573,0.96292084,0.0,NOT_AVAILABLE,,,,OK,NOFLAG,YES,547707128,J120513.08+020014.6,-0.0000189500,-5.68,5.57
27,39627624326103210,3823628002865715328,dark,5,79.7838,31.9960,16.6506,45.3236,70.9055,0.8823,LOO-moderate; N=5,NO,,,,,NO_MATCH,candidate_companion,143.05229952215313,-6.787934387049065,240.5827896342194,31.093987064076828,16.575224,0.3776436,0.009287094965710476,0.055583775,-2.66496776477425,0.7104182472309283,0.9988904,0.0,NOT_AVAILABLE,,,,OK,NOFLAG,NO,,,,,
29,39627817100513868,3078449763965033472,dark,3,9.0016,30.2829,16.0527,26.1032,381.7968,5.8497,LOO-moderate; N=3(min),NO,,,,,NO_MATCH,candidate_companion,129.7124851379527,1.2963944482891185,224.6977629488379,24.34460963854927,20.671959,1.4628925,2.8559972325264433,0.95571494,-10.652874649136823,-7.79625695518374,1.096975,1.6236898,NOT_AVAILABLE,,,,OK,NOFLAG,NO,,,,,
30,39633325534479674,1563820480355540352,bright,3,28.9711,64.6402,15.2165,86.0218,66.8579,0.6325,LOO-drops; N=3(min),NO,,,,,NO_MATCH,candidate_companion,199.79972995480523,55.174259881843696,114.61575507061778,61.503488584275026,17.619987,2.1764584,1.4153603750276684,0.07516311,-20.585127123802714,-13.013858823581483,1.0309838,0.12709202,NOT_AVAILABLE,,,,OK,NOFLAG,NO,,,,,
31,39627981798249854,4442920432493231872,dark,5,11.9764,32.1995,14.9620,43.7759,110.9868,1.4566,LOO-drops; N=5,NO,,,,,NO_MATCH,candidate_companion,256.07075075973,8.06832503212725,27.852196759240474,27.461207121527377,17.866726,0.8313236,0.03558808219385751,0.113742374,-2.660414029200446,-15.283623234420306,1.0680468,0.29100454,NOT_AVAILABLE,,,,OK,NOFLAG,NO,,,,,
32,39627788696688328,4410518344516247424,dark,3,16.9500,32.1495,13.2199,31.2192,51.9025,0.8724,LOO-drops; N=3(min),NO,,,,,NO_MATCH,candidate_companion,236.72580704623832,0.05516166716016718,7.610350277739927,39.94733301095979,16.559868,0.81612206,0.3763552325105191,0.056077372,-2.8250273468758538,-1.7453378395382662,0.9429681,0.0,NOT_AVAILABLE,,,,OK,NOFLAG,NO,,,,,
