rank,targetid,gaia_source_id,n_epochs,mjd_span,S,S_robust,d_max,delta_rv_kms,notes
1,39632991214896712,1480681355298504960,3,311.1554,227.0123,81.0737,302.6696,107.0267,N=3; S_robust=81.1; d_max=302.7; LOO-drops
2,39633437979575384,1584997005586641280,3,354.9959,123.4901,71.7264,105.3453,98.6139,N=3; S_robust=71.7; d_max=105.3; LOO-moderate
3,39627830035744797,3891388499304470656,3,94.7559,107.9462,52.2263,108.4961,76.0153,N=3; S_robust=52.2; d_max=108.5; LOO-drops
4,39627681263782079,6914501041337922944,3,2.9774,87.3568,49.0747,79.1709,96.9153,N=3; S_robust=49.1; d_max=79.2; LOO-moderate
5,39633025553665365,1375654252266254080,3,25.9330,147.2584,44.8489,219.7490,201.8817,N=3; S_robust=44.8; d_max=219.7; LOO-drops
6,39627721168388315,3787512447507460352,3,122.6665,64.3497,35.5568,63.2058,330.4592,N=3; S_robust=35.6; d_max=63.2; LOO-moderate
7,39628408488985455,1880759723584022528,3,12.9634,57.9631,33.4072,47.5602,119.6161,N=3; S_robust=33.4; d_max=47.6; LOO-moderate
8,39627829624701236,3856238482657768576,3,14.9359,71.5469,20.5593,133.2482,100.2366,N=3; S_robust=20.6; d_max=133.2; LOO-drops
9,39627745210139276,3802130935635096832,4,38.9003,79.8619,19.7784,205.2440,146.0699,N=4; S_robust=19.8; d_max=205.2; LOO-drops
10,39633325534479674,1563820480355540352,3,28.9711,64.6402,15.2165,86.0218,66.8579,N=3; S_robust=15.2; d_max=86.0; LOO-drops
11,2803043443671040,2683995092712700928,3,204.4059,75.2085,12.1428,127.2492,39.4922,N=3; S_robust=12.1; d_max=127.2; LOO-drops
12,39627823941422728,3796405228833490048,3,78.7908,92.5002,8.1420,121.8769,44.8944,N=3; S_robust=8.1; d_max=121.9; LOO-drops
13,39633187848063014,1494748369624872320,3,356.0155,72.4478,6.6583,109.0716,78.5292,N=3; S_robust=6.7; d_max=109.1; LOO-drops
14,39627848897530159,1154235837614661120,3,54.8630,150.0413,6.2365,235.7836,90.0072,N=3; S_robust=6.2; d_max=235.8; LOO-drops
15,39627814730734330,2657253320657959552,3,83.7932,63.5128,5.8615,87.3376,168.5561,N=3; S_robust=5.9; d_max=87.3; LOO-drops
16,39627684568894169,3822906963755970432,4,113.6873,79.4628,5.3059,161.3621,149.1026,N=4; S_robust=5.3; d_max=161.4; LOO-drops
17,39633020281425098,1474683107051298688,3,84.7572,94.1991,4.3126,161.3560,74.0442,N=3; S_robust=4.3; d_max=161.4; LOO-drops
18,39627775014863400,3839242854686510976,3,8.9841,65.2195,3.8645,124.0060,173.9417,N=3; S_robust=3.9; d_max=124.0; LOO-drops
19,39627758413810835,4415405948576701696,3,3.9781,69.0068,2.6922,92.3120,49.7485,N=3; S_robust=2.7; d_max=92.3; LOO-drops
20,39633025297811682,1484280263014504320,3,31.9090,92.6900,1.9566,143.7828,82.2972,N=3; S_robust=2.0; d_max=143.8; LOO-drops
21,39628517595416893,1285627541557672320,3,335.0783,63.3832,1.7959,99.8230,179.9148,N=3; S_robust=1.8; d_max=99.8; LOO-drops
22,39633271415376731,1511871476521032192,3,80.7774,63.6964,1.7419,102.5478,37.7860,N=3; S_robust=1.7; d_max=102.5; LOO-drops
23,39627588628384507,3774590437101897472,3,26.9311,119.5547,1.1324,213.8666,76.9417,N=3; S_robust=1.1; d_max=213.9; LOO-drops
24,39627862759705381,2683865517843849216,3,204.4059,63.5309,0.9330,135.1894,112.0495,N=3; S_robust=0.9; d_max=135.2; LOO-drops
25,39627829435958806,3847235097333898368,3,16.9786,86.7586,0.6038,201.5505,100.9378,N=3; S_robust=0.6; d_max=201.6; LOO-drops
26,39627733042467114,3781586968891812352,3,32.9160,63.9173,0.4088,81.1228,266.8214,N=3; S_robust=0.4; d_max=81.1; LOO-drops
27,39633469877259246,1060918086742141184,3,55.9392,74.0900,0.2809,109.2301,131.6318,N=3; S_robust=0.3; d_max=109.2; LOO-drops
