rank,targetid,gaia_source_id,S,delta_rv_kms,rv_err_median_kms,n_epochs,mjd_span_days,rv_median_kms
1,39633467675248391,1682399201638039936,404.0302,53.1375,0.0929,2,108.7096,-0.5066
2,39627802516923563,2654363460502451072,216.0942,274.5930,0.8954,2,90.7828,-97.0809
3,39633196156978821,1506701156234427648,211.3174,224.3227,0.7456,2,25.9322,-53.1316
4,39633481084438360,1060575279632501760,197.5341,137.0557,0.4903,2,2.0011,-29.1009
5,39628217262280025,4550553416739526144,187.2574,191.7619,0.7237,2,5.9707,-111.4630
6,39633267237848688,791839691319429376,186.2228,48.3442,0.1821,2,26.9221,-29.8521
7,39633236099335368,832578933589018112,144.7357,54.2117,0.2544,2,107.6901,56.5949
8,39627914811015436,3717183796848785024,134.8247,114.8036,0.6019,2,7.9971,-133.9972
9,39627714851767085,3780673446527368448,132.8635,100.9039,0.5353,2,3.9984,3.9364
10,39627830958494809,4423051677558864000,129.8303,79.8929,0.4243,2,6.9937,1.6681
11,39627588628384507,3774590437101897472,119.5547,76.9417,0.3768,3,26.9311,63.4662
12,39627890593105547,3705434003277901184,116.6299,146.5936,0.8824,2,74.8100,102.5514
13,39628131027393392,1759520454744959104,112.3246,64.2138,0.4011,2,5.9937,-0.6277
14,39627897014587709,3669489254474109568,111.1809,93.6622,0.5882,2,2.9644,-37.5796
15,2803269034311680,4543026744250717056,110.8673,49.8794,0.3053,2,0.9699,-25.6182
16,39627909538777874,4437752251103346304,109.9815,166.9287,1.0721,2,0.9862,-5.3483
17,39633540664525279,1131572734007264128,109.3033,276.8604,1.7671,2,49.8555,-5.6900
18,39633472146377691,1060273051373873920,109.2759,60.3563,0.3905,2,2.0011,23.0223
19,39627830035744797,3891388499304470656,107.9462,76.0153,0.3994,3,94.7559,34.4895
20,39633001818097526,4606316970008547840,106.2693,92.0333,0.6078,2,2.0002,12.1651
21,39627778626166013,2642629846072578432,105.1089,171.5766,1.1542,2,9.9696,10.1466
22,39627606470954350,3772311905411850112,90.5151,84.7523,0.6462,2,3.9774,90.7238
23,39627681263782079,6914501041337922944,87.3568,96.9153,0.6815,3,2.9774,-28.5029
24,39633533722953353,1130519234365653760,82.7271,75.8189,0.6478,2,49.8555,-36.8456
25,39627849375678967,4385945874541852032,80.3198,64.8976,0.5649,2,0.9935,-38.2557
26,39627832829154448,2658329669526921088,79.6514,83.7197,0.7428,2,1.9689,-5.3382
27,39628381297312335,1880310710523014528,78.5044,135.3046,1.1831,2,1.0941,-36.5825
28,39627708874883889,3781030134971563648,78.4289,31.2891,0.2805,2,3.9845,26.9457
29,39627825170355685,4384150367757934208,78.1750,159.9342,1.4337,2,8.9991,-116.3243
30,2802993866997760,4385100350100553984,76.8877,54.7333,0.4826,2,0.9935,126.4520
31,39633469877259246,1060918086742141184,74.0900,131.6318,1.0987,3,55.9392,37.5289
32,39627660829133358,3785203301290813184,74.0623,46.2485,0.4293,2,0.9968,-13.1905
33,39628256365774551,1249059816338430336,73.0661,45.4883,0.4359,2,0.9879,-16.7766
34,39627885316673996,4425937483268771328,72.9861,57.6870,0.5523,2,2.9627,-42.1718
35,2803042114076672,4434428908488644352,72.3360,34.9883,0.3408,2,0.9874,-4.8305
36,39627666692768181,3777559732676687360,71.2711,66.5259,0.6485,2,24.9517,98.0500
37,2803573754691584,1460036134700711040,70.8913,20.4682,0.2019,2,81.7658,-43.3072
38,39627939049904156,3672567062398063616,70.7888,70.4318,0.7017,2,67.7839,-59.5506
39,39627854211711352,3892108679420777344,69.0249,31.2691,0.3200,2,12.9811,0.8645
40,39627794262527560,3663690327070081024,67.8021,48.2015,0.5020,2,16.9500,-32.4933
41,39627766278129314,2653049368013729536,66.3326,51.3189,0.5470,2,88.7989,1.1344
42,39627733042467114,3781586968891812352,63.9173,266.8214,1.8299,3,32.9160,143.7074
43,39633271415376731,1511871476521032192,63.6964,37.7860,0.3407,3,80.7774,-56.8507
44,39627843012922556,4423977290255120128,63.6112,164.5046,1.8286,2,283.2217,26.6827
45,39627624619708042,3776313608045120768,63.5499,30.8675,0.3395,2,94.7519,10.1194
46,39627814730734330,2657253320657959552,63.5128,168.5561,1.4693,3,83.7932,-153.3776
47,2803084308774912,4440711380490119936,62.2848,36.3569,0.4108,2,0.9912,-79.2477
48,39627582806688056,3783352617062601088,62.1545,45.1716,0.5137,2,8.0142,40.8661
49,2803257260900352,4540744570428873728,61.9771,27.9921,0.3093,2,0.9699,-11.1863
50,39633224132987082,832285879380693120,61.4322,40.7634,0.4652,2,135.6256,2.3012
51,39633455725675056,1681143215762465024,60.6670,63.0462,0.7317,2,107.6952,-62.9736
52,39627824901917800,4423678811503639296,58.1915,40.8457,0.4807,2,6.9937,3.5827
53,39627693477594704,6911824795676129536,57.9693,361.3632,4.4079,2,2.0086,-21.3632
54,39628408488985455,1880759723584022528,57.9631,119.6161,0.9882,3,12.9634,-38.4035
55,39633278398893206,837199734285015936,57.3227,30.6732,0.3766,2,81.7757,71.7156
56,39627848687815451,3667480034413245184,57.1205,57.1936,0.6950,2,284.2141,8.3157
57,39633533647457032,1137221719809912960,56.5695,40.1204,0.4903,2,78.7642,-133.1978
58,39633207926196236,831571334266301824,55.3498,41.4220,0.5079,2,107.6901,-6.8526
