rank,targetid,gaia_source_id,S,delta_rv_kms,rv_err_median_kms,n_epochs,mjd_span_days,rv_median_kms
1,39633297063545102,1572335888675471488,524.2935,173.4940,0.2309,2,27.9287,0.0279
2,39627721562657173,3685199626367744384,483.6436,160.7183,0.2350,2,62.8276,-18.8057
3,39627908184019189,3816081156915876352,419.0964,282.2467,0.4743,2,4.9843,25.0479
4,39633467675248391,1682399201638039936,404.0302,53.1375,0.0929,2,108.7096,-0.5066
5,39632981622523926,1371261222276968192,307.4310,183.9150,0.4183,2,362.0089,2.7643
6,39633001268642975,1375170432790644992,287.7759,249.1104,0.6066,2,15.9432,27.5035
7,39633196219894255,1590007583154883584,253.6250,222.2990,0.6194,2,54.8475,-76.0026
8,39627615560010992,2622409999036707584,237.3624,175.8678,0.4955,2,3.9561,-21.3447
9,39632991214896712,1480681355298504960,227.0123,107.0267,0.2459,3,311.1554,16.9875
10,39627799207611651,3841081371271550080,220.6252,206.0220,0.6124,2,1.9975,83.9910
11,39627802516923563,2654363460502451072,216.0942,274.5930,0.8954,2,90.7828,-97.0809
12,39633196156978821,1506701156234427648,211.3174,224.3227,0.7456,2,25.9322,-53.1316
13,39633481084438360,1060575279632501760,197.5341,137.0557,0.4903,2,2.0011,-29.1009
14,39633267669862360,1604742860033182976,197.1808,113.9041,0.4074,2,354.0057,-46.0607
15,39627727656982183,3684736319655436928,196.5503,151.1702,0.5402,2,18.9416,-41.1335
16,39628217262280025,4550553416739526144,187.2574,191.7619,0.7237,2,5.9707,-111.4630
17,39633267237848688,791839691319429376,186.2228,48.3442,0.1821,2,26.9221,-29.8521
18,39633315065498329,1563702592093411200,183.8637,157.4751,0.5984,2,275.2539,-17.8115
19,39628357725324669,1221718879169898880,180.5674,315.3386,1.1782,2,1.0116,22.7073
20,39633361953623812,857426483331792640,165.5117,176.1082,0.7330,2,0.9772,-42.9587
21,39627921307994456,1156914728976538880,153.1314,70.8551,0.3261,2,69.8117,-7.3898
22,39627956162660948,3863180730356108928,151.5503,76.9427,0.3490,2,94.7509,45.9180
23,39627848897530159,1154235837614661120,150.0413,90.0072,0.3445,3,54.8630,12.6959
24,39633025553665365,1375654252266254080,147.2584,201.8817,0.7974,3,25.9330,-23.1775
25,39633236099335368,832578933589018112,144.7357,54.2117,0.2544,2,107.6901,56.5949
26,39627672426382219,3824917553911607040,137.4939,192.2192,0.9882,2,7.9610,-4.3680
27,39627914811015436,3717183796848785024,134.8247,114.8036,0.6019,2,7.9971,-133.9972
28,39633196035344275,1503985469889570560,133.5519,76.5934,0.4007,2,56.8486,31.4948
29,39628201156151931,2736939871830183680,133.3079,130.4976,0.6668,2,1.8243,-66.0978
30,39627857781065523,2514743243464418944,133.3050,111.0176,0.5884,2,115.6847,-88.3413
31,39627714851767085,3780673446527368448,132.8635,100.9039,0.5353,2,3.9984,3.9364
32,39627830958494809,4423051677558864000,129.8303,79.8929,0.4243,2,6.9937,1.6681
33,39628141328599120,1195022530684968832,129.3039,43.0822,0.2355,2,3.9817,-11.3146
34,39632996151594716,1479995156963527808,129.1018,69.4878,0.3751,2,39.9048,-0.9574
35,39627818216198166,3691086957083226112,126.3545,111.4878,0.6128,2,47.8698,134.0199
36,39633374226157215,1083503356951191424,126.1908,30.9310,0.1731,2,27.0280,-43.6932
37,39633361974591998,856721906832664448,124.9849,93.6930,0.5090,2,0.9772,-8.0047
38,39633437979575384,1584997005586641280,123.4901,98.6139,0.4889,3,354.9959,-40.9856
39,39627588628384507,3774590437101897472,119.5547,76.9417,0.3768,3,26.9311,63.4662
40,39627782782714832,4408053205089979776,118.7085,62.4179,0.3682,2,0.9972,45.9848
41,39628504295276785,2859541710454346112,118.0384,59.3324,0.3550,2,27.9800,-33.9909
42,39627767041498674,2508785574069010688,117.8046,142.0085,0.8510,2,83.7770,13.7526
43,39627890593105547,3705434003277901184,116.6299,146.5936,0.8824,2,74.8100,102.5514
44,39628131027393392,1759520454744959104,112.3246,64.2138,0.4011,2,5.9937,-0.6277
45,39627818090369124,3697124551526056576,111.8030,105.9650,0.6696,2,71.7907,50.9286
46,39627767507064194,3263323130823395328,111.2812,68.2799,0.4337,2,0.9870,20.6340
47,39627897014587709,3669489254474109568,111.1809,93.6622,0.5882,2,2.9644,-37.5796
48,2803269034311680,4543026744250717056,110.8673,49.8794,0.3053,2,0.9699,-25.6182
49,39627909538777874,4437752251103346304,109.9815,166.9287,1.0721,2,0.9862,-5.3483
50,39627779087539861,2509751190091976320,109.5795,90.7460,0.5848,2,82.7775,20.0527
51,39633540664525279,1131572734007264128,109.3033,276.8604,1.7671,2,49.8555,-5.6900
52,39633472146377691,1060273051373873920,109.2759,60.3563,0.3905,2,2.0011,23.0223
53,39627813011068990,4407888140900751104,108.7286,188.6959,1.1819,2,0.9589,28.5299
54,39627830035744797,3891388499304470656,107.9462,76.0153,0.3994,3,94.7559,34.4895
55,39627848415187506,3692079506845341568,106.7034,145.6401,0.9595,2,11.9611,58.5236
56,39633358589791624,1045838937602132352,106.4065,73.7210,0.4899,2,54.8779,-144.4027
57,39633001818097526,4606316970008547840,106.2693,92.0333,0.6078,2,2.0002,12.1651
58,39627778626166013,2642629846072578432,105.1089,171.5766,1.1542,2,9.9696,10.1466
59,39627857789453233,2514072717465555328,104.9527,106.6842,0.7178,2,7.9704,-61.7889
60,39627806090464158,3690419347366353920,103.1493,84.2951,0.5757,2,7.9820,-17.5819
61,2803102386225153,4393158842618787584,103.1098,46.5650,0.3185,2,0.9937,-235.3239
62,2803309857472512,4462598946147743488,102.8184,54.0766,0.3707,2,0.9984,-42.4867
63,39627940744401381,1736018359340041728,101.8777,126.0348,0.8470,2,0.9924,60.7732
64,39633058709635624,1487581168719345280,101.4021,53.9209,0.3727,2,300.1583,-8.4340
65,39628241169812025,1786309127842393216,101.1332,63.6039,0.4330,2,2.9997,-33.6596
66,39627788004626922,3689149926833125760,99.6591,629.4956,4.4185,2,55.8403,86.4718
67,39633095770508244,1491206499074909184,96.2758,61.9063,0.4491,2,3.9997,-32.8169
68,39627497536489918,5159641455040233728,94.6782,61.6485,0.4604,2,20.8736,63.5250
69,39627559431836403,3624476996484041600,94.6511,103.0590,0.7696,2,2.9945,42.3994
70,39633020281425098,1474683107051298688,94.1991,74.0442,0.4415,3,84.7572,-104.5415
71,39633085251194641,948218518556693760,93.2275,37.9321,0.2873,2,83.7809,32.8068
72,39633025297811682,1484280263014504320,92.6900,82.2972,0.5282,3,31.9090,-41.0501
73,39627823941422728,3796405228833490048,92.5002,44.8944,0.2557,3,78.7908,19.0561
74,39627714549781719,5760056167666428160,91.9322,78.0957,0.5929,2,32.8952,42.3632
