rank,targetid,gaia_source_id,S,delta_rv_kms,rv_err_median_kms,n_epochs,mjd_span_days,rv_median_kms
1,39627976861548987,1739969316935490560,165.2757,136.1439,0.5716,2,0.9633,-80.7657
2,39627750855675448,3838920659125870976,148.7927,526.1362,2.4900,2,85.7634,6.9639
3,39627908372762354,3897146156366561152,128.9705,222.8592,0.9283,3,6.9779,157.5738
4,39628139982225615,616451055357607680,124.3920,434.1351,2.4536,2,34.9070,82.3143
5,39627819004726356,4411468047684623488,116.5872,779.5862,4.5740,2,0.9793,-60.9773
6,39627691711793248,3645728769542916608,111.1813,759.7110,4.8226,2,51.8569,49.9618
7,2802835481690112,3786836110417682944,105.1337,46.8908,0.3154,2,26.9201,344.5998
8,39627865616026467,3845688501085909632,102.0250,62.4781,0.4326,2,111.6983,6.8636
9,39633000673053575,1519420620277514496,101.6691,60.2477,0.4117,2,93.7336,-59.3575
10,39628090506218599,2769730881983001088,97.0654,783.3550,5.6578,2,0.9877,-4.0917
11,39627612280064523,5745646651171698176,92.2672,856.3428,6.5605,2,78.7687,11.7054
12,39628001431785529,2759088365339967488,91.1213,822.8560,4.2851,4,10.9656,73.4432
13,39627708602256134,3825631274397009152,90.0512,784.0784,6.1568,2,63.8357,-28.4932
14,39627624854588334,3593347726357653120,86.8804,64.9361,0.5248,2,120.6639,199.9314
15,39627751707116493,3683541768991487104,84.4855,80.5036,0.4818,4,46.8721,97.8428
16,39627782317149427,3652971286995183488,83.2922,849.5851,4.7235,5,28.9452,392.4383
17,39632979940607983,895139285488873216,82.5310,868.2929,7.3890,2,50.8800,29.4252
18,2802878326505472,3658213281694833152,81.6591,51.7791,0.4442,2,1.9944,211.8913
19,39627956523372036,3899316042564360576,80.1021,62.1535,0.4524,3,89.7440,217.6160
20,39633162724183645,1406428929892445056,77.6567,380.4012,3.3558,2,356.0083,-38.0319
21,39627653178722781,3200447592749760000,76.0598,61.8265,0.5741,2,57.8381,95.0358
22,39627884498784415,3706896667276496128,74.8287,44.4778,0.4203,2,29.9217,262.2824
23,39628319397779339,4580234355178586368,73.8601,91.4805,0.8697,2,0.9741,-83.9791
24,39627720618937474,3838292975424284032,73.5528,104.5795,0.8336,2,79.7763,62.1591
25,39628471235774797,1311832683219419008,73.4237,855.9584,8.2426,2,3.0073,55.8890
26,39627809248777518,2558351322026359808,72.8849,142.2544,1.3706,2,0.9854,136.7603
27,39627760414495018,2643929228298954752,70.5228,53.6298,0.4303,3,8.9948,-121.3857
28,2802895657369600,3805563228684361088,70.2959,21.1958,0.2130,2,14.9504,120.0463
29,39627769281250037,3806706445899526912,69.7074,762.7328,7.6483,2,1.9894,-13.7768
30,2803022883192832,3893517463052909056,69.1427,57.6766,0.5851,2,4.9837,37.4077
31,39627672426385954,3824924632017748608,68.8430,720.5631,6.7303,2,135.6568,-94.7420
32,39628439510061121,,67.8747,716.9532,6.1822,3,359.0398,-264.8637
33,39628437601651065,707175371834169088,66.0822,49.8666,0.5321,2,32.9173,31.1610
34,39627969320191092,1160735871184945920,65.3698,566.8699,6.1136,2,355.0207,-52.8885
35,39628512453203849,1285449287531060096,64.4415,791.7834,8.5859,2,318.1201,22.4614
36,39633025230703158,1495434018202601600,64.0265,28.6910,0.3166,2,340.0621,-19.7669
37,39632952014930822,4601507259471216896,63.6397,63.2462,0.7023,2,0.9880,-58.4543
38,39628517171790283,4015420965763823360,63.4128,563.1395,6.0302,2,323.1089,207.9543
39,39627660350981277,5746540214823484416,62.4701,76.3336,0.7127,3,13.9755,-33.6387
40,39632966527224712,1289939693019431808,62.4245,592.9100,5.6793,3,32.9240,98.0251
41,39627721252274905,3792737120604538880,61.8326,753.8947,8.5724,2,8.9850,34.8631
42,39627764436829147,4415644847542250368,61.6774,693.8648,5.5213,4,298.2322,-213.6409
43,39633044897796112,1331360254542953088,61.4522,51.2661,0.5057,3,19.9693,-128.5679
44,39628268541841017,4561512180414318592,60.5704,74.2356,0.6030,4,22.9749,-79.6878
45,39628029634286488,4491482773010566528,60.2742,43.3382,0.4898,2,5.9660,31.3460
46,39632931756443162,4604109666055985152,60.2620,548.0025,6.2443,2,348.0437,-11.6088
47,39627927431678264,4428157672119227136,58.9850,48.9300,0.5855,2,5.9808,-37.1739
48,39627896473520589,3894220119702593280,58.8142,58.6932,0.6862,2,34.9071,92.0394
49,39627757918880585,3638666988610164608,58.4983,68.2693,0.7794,2,0.9814,57.5141
50,39627714713356667,3826086648304166400,55.3627,58.8975,0.4960,4,3.9928,132.7058
51,39627861161674700,4424321922726540032,55.1192,36.1469,0.4634,2,45.8811,-70.5241
52,2803029648605184,1155496633854537856,53.6082,35.4914,0.4541,2,4.9685,38.2568
53,39632991382668659,1290832938841847296,52.7392,678.2743,8.0315,3,340.0515,-479.3704
